Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
346.3920504,64.94230796,25.56749384,30.72483147,1.360000014,258.2999878,3.790092468,2.5
347.3913557,64.94230383,25.56746474,30.46994898,1.350000024,259.2999878,3.790092468,2.5
348.3865556,64.94229879,25.56743743,30.56882515,1.309999943,252.3000031,3.790092468,2.5
349.3906245,64.94229283,25.56740829,30.80313773,1.370000005,252.6000061,3.790092468,2.5
350.3905403,64.94228959,25.56738164,30.69828014,1.350000024,253.8000031,3.790092468,2.5
351.3915985,64.94228689,25.56735446,30.66971709,1.340000033,256.2999878,3.790092468,2.5
352.3914826,64.94228336,25.56732805,30.65812091,1.299999952,255.8999939,3.790092468,2.5
353.3918398,64.9422785,25.5673025,30.920205,1.25999999,251.6000061,3.790092468,2.5
354.3920585,64.94227382,25.56727467,31.19956254,1.299999952,253.8999939,3.790092468,2.5
355.391727,64.94226843,25.56724827,31.17539137,1.320000052,254.6000061,3.790092468,2.5
356.3914476,64.94226483,25.56721946,31.11557771,1.299999952,256.8999939,3.790092468,2.5
357.391737,64.94226138,25.56719175,31.40671617,1.269999981,259.2999878,3.790092468,2.5
358.392447,64.94225776,25.5671642,31.19590132,1.309999943,253.5,3.790092468,2.5
359.391188,64.94225464,25.56713771,31.07084119,1.320000052,253.0,3.790092468,2.5
360.3922429,64.94225264,25.56710827,31.075055,1.370000005,256.8999939,3.790092468,2.5
361.3948491,64.94224999,25.56708107,31.04966582,1.299999952,257.7000122,3.790092468,2.5
362.3924096,64.94224551,25.56705418,31.36808591,1.340000033,254.0,3.790092468,2.5
363.3913127,64.94224122,25.56702847,31.12339566,1.340000033,250.5,3.790092468,2.5
364.3926885,64.94223776,25.56700163,31.25895537,1.350000024,253.1000061,3.790092468,2.5
365.3916159,64.94223516,25.56697453,30.9593963,1.360000014,255.1000061,3.790092468,2.5
366.3914569,64.9422347,25.56694894,30.94005143,1.360000014,259.1000061,3.790092468,2.5
367.390114,64.94223425,25.56692215,31.14787959,1.320000052,257.2000122,3.790092468,2.5
368.3912967,64.94223196,25.56689679,31.04229029,1.309999943,253.6000061,3.790092468,2.5
369.3918258,64.94222937,25.56686884,31.07665469,1.320000052,254.3999939,3.790092468,2.5
370.3915449,64.94222714,25.56684302,31.04021835,1.320000052,254.5,3.790092468,2.5
371.3913327,64.94222455,25.56681736,30.94946035,1.320000052,257.3999939,3.790092468,2.5
372.3920091,64.94222263,25.56679188,30.75311213,1.299999952,254.1000061,3.790092468,2.5
373.391834,64.94221964,25.56676328,30.71588202,1.320000052,253.6000061,3.790092468,2.5
374.3920739,64.94221652,25.56673532,30.76611507,1.360000014,252.8000031,3.790092468,2.5
375.3916315,64.94221258,25.56670668,30.85095438,1.389999986,256.1000061,3.790092468,2.5
376.3922258,64.94220937,25.56667599,30.91931518,1.419999957,257.7999878,3.790092468,2.5
377.3922296,64.94220624,25.56664523,30.92963163,1.399999976,257.7000122,3.790092468,2.5
378.3911688,64.94220401,25.56661786,31.09729707,1.340000033,257.0,3.790092468,2.5
379.3916229,64.94220041,25.56658877,31.25666069,1.389999986,251.5,3.790092468,2.5
380.3903162,64.94219733,25.56655896,30.80445264,1.399999976,253.8999939,3.790092468,2.5
381.3893765,64.94219531,25.56652715,30.73884255,1.379999995,254.5,3.790092468,2.5
382.3916635,64.94219227,25.56649641,31.34852432,1.379999995,255.1999969,3.790092468,2.5
383.3929197,64.94219026,25.56647065,32.71974198,1.399999976,254.6999969,3.790092468,2.5
384.3906249,64.94218904,25.56644382,32.58485702,1.399999976,255.3999939,3.790092468,2.5
385.3917919,64.9421862,25.56641746,32.6005442,1.309999943,253.6999969,3.790092468,2.5
386.3920378,64.94218178,25.56639225,32.86134692,1.299999952,253.8999939,3.790092468,2.5
387.3910802,64.94217884,25.56636578,32.86659701,1.389999986,257.2000122,3.790092468,2.5
388.3914609,64.94217658,25.5663371,32.63503166,1.399999976,263.2999878,3.790092468,2.5
389.3909436,64.94217475,25.56630933,32.92409646,1.330000043,257.2000122,3.790092468,2.5
390.3908813,64.94217311,25.56628362,32.9573628,1.279999971,257.2999878,3.790092468,2.5
391.3937191,64.94217145,25.56625832,33.34908853,1.299999952,256.0,3.790092468,2.5
392.392165,64.94216856,25.56623064,33.1049492,1.350000024,257.7999878,3.790092468,2.5
393.3924752,64.94216471,25.5662026,32.97256439,1.360000014,258.1000061,3.790092468,2.5
394.3920041,64.94216209,25.56617494,32.93435792,1.350000024,259.1000061,3.790092468,2.5
395.3915766,64.94215793,25.56614709,32.83804457,1.379999995,245.8999939,3.790092468,2.5
396.3912856,64.94215426,25.56612156,33.21261757,1.24000001,253.1999969,3.790092468,2.5
397.3917069,64.94214928,25.56609509,33.30526809,1.340000033,252.3000031,3.790092468,2.5
398.3919162,64.94214572,25.56606672,33.20858916,1.340000033,255.8000031,3.790092468,2.5
399.3898798,64.94214311,25.56603933,33.20523374,1.320000052,255.3999939,3.790092468,2.5
400.3901578,64.94214044,25.56601336,33.08762025,1.309999943,257.0,3.790092468,2.5
401.3899485,64.94213892,25.56598566,32.5665657,1.350000024,264.3999939,3.790092468,2.5
402.3909318,64.94213605,25.56595775,32.3798605,1.340000033,259.6000061,3.790092468,2.5
403.3943317,64.94213546,25.56592814,31.93485691,1.370000005,270.0,3.790092468,2.5
404.391458,64.94213291,25.56589663,31.87596015,1.350000024,265.2999878,3.790092468,2.5
405.3891438,64.9421312,25.56586619,31.52128766,1.350000024,271.1000061,3.790092468,2.5
406.3916007,64.94212995,25.56583605,31.71788508,1.320000052,273.1000061,3.790092468,2.5
407.3908531,64.94212958,25.56580523,31.55333842,1.320000052,272.2000122,3.790092468,2.5
408.3921932,64.94212967,25.56577423,31.66461008,1.360000014,273.2999878,3.790092468,2.5
409.3910811,64.94213017,25.56574226,31.11615326,1.399999976,278.0,3.790092468,2.5
410.3915861,64.94213155,25.56571394,31.12824362,1.330000043,279.5,3.790092468,2.5
411.3916712,64.94213374,25.56568578,31.38740502,1.299999952,283.7000122,3.790092468,2.5
412.3920057,64.94213654,25.56565766,31.19704307,1.289999962,284.7999878,3.790092468,2.5
413.3903899,64.94214048,25.56562625,30.72933892,1.360000014,288.5,3.790092468,2.5
414.3916923,64.94214643,25.56559672,30.23099673,1.350000024,296.8999939,3.790092468,2.5
415.3900711,64.9421527,25.56556978,29.79588689,1.340000033,297.2999878,3.790092468,2.5
416.3923539,64.94215866,25.56554185,29.44909477,1.350000024,296.2999878,3.790092468,2.5
417.3915233,64.94216518,25.56551513,29.22882888,1.350000024,297.8999939,3.790092468,2.5
418.3919366,64.94217151,25.56548961,29.29518374,1.320000052,297.1000061,3.790092468,2.5
419.3915319,64.94217775,25.56546345,29.15688772,1.409999967,298.2000122,3.790092468,2.5
420.3918494,64.94218555,25.56543634,29.05783891,1.399999976,301.2999878,3.790092468,2.5
